rate,q,time
149.7611468,-0.0017,237
150.4151256,0.0106,238.5
149.0266783,0.0141,240
148.5940462,0.0052,241.5
149.0266783,-0.0083,243
150.052922,-0.0149,244.5
150.9483699,-0.0073,246
151.2300838,0.0018,247.5
150.0026159,0.0064,249
148.6644747,-0.0006,250.5
148.1412916,-0.0136,252
148.8053316,-0.0216,253.5
149.1272904,-0.0166,255
147.9501286,-0.0064,256.5
146.4811916,-0.0015,258
145.1832952,0.0055,259.5
144.7204794,0.0073,261
145.364397,0.0033,262.5
146.8635176,-0.007,264
147.5174964,-0.0068,265.5
146.2598449,0.0034,267
145.364397,0.0067,268.5
146.5818037,-0.0041,270
147.5678025,0.0085,271.5
148.7047195,0.0248,273
148.1412916,0.0164,274.5
146.6220485,-0.0045,276
145.3744582,-0.0058,277.5
143.89546,0.0051,279
140.8770963,0.0168,280.5
144.6701733,0.014,282
163.8065994,-0.0261,283.5
189.4928746,-0.0622,285
145.7467231,-0.0547,286.5
148.4632504,0.006,288
149.2178413,0.0447,289.5
149.8416365,0.0459,291
148.7047195,0.0237,292.5
147.6080474,0.0096,294
146.1391103,0.0012,295.5
145.5354376,-0.0017,297
145.6058661,-0.0034,298.5
146.9037625,-0.0049,300
147.1854764,-0.0107,301.5
146.9943134,-0.0175,303
146.6019261,-0.0216,304.5
147.1251092,-0.0114,306
148.4531892,0.0081,307.5
149.5196777,0.0092,309
149.5599226,0.0121,310.5
149.0769844,0.0136,312
148.8858213,0.0078,313.5
150.2541462,0.0022,315
151.9444299,0.0001,316.5
153.0411021,-0.0007,318
152.6788984,-0.0003,319.5
151.189839,0.0009,321
149.6202898,0.0064,322.5
148.6644747,0.0088,324
148.1211692,0.0048,325.5
147.7086595,0.0031,327
146.692477,0.0027,328.5
146.9238849,-0.0033,330
148.0306183,-0.0082,331.5
150.2139014,-0.0033,333
152.9606124,0.0012,334.5
153.5844075,0,336
152.7392657,-0.0107,337.5
151.2703287,-0.0148,339
150.1635953,-0.0066,340.5
149.6605347,0.0032,342
149.439188,-0.0046,343.5
148.1915977,-0.0154,345
147.1251092,-0.0131,346.5
146.1894164,-0.0008,348
145.7769067,0.0065,349.5
148.0406795,0.0075,351
149.7510856,0.0016,352.5
150.9986759,0,354
150.9684923,0.0041,355.5
150.2139014,0.0092,357
148.8656989,0.0055,358.5
147.5074352,0.001,360
146.5113752,-0.0008,361.5
145.1631727,0.001,363
145.6058661,-0.0002,364.5
149.9422486,-0.0081,366
157.1058319,-0.0031,367.5
101.4975109,0.0008,369
101.7188575,0.0119,370.5
102.3627751,0.0196,372
102.3325915,0.0191,373.5
101.9402042,0.0204,375
101.6283066,0.0058,376.5
101.1151848,-0.0077,378
101.2560418,-0.007,379.5
101.5679393,-0.0017,381
101.7087963,-0.003,382.5
101.8395921,-0.0111,384
101.8597145,-0.0114,385.5
101.8194697,-0.0015,387
101.266103,-0.0012,388.5
100.1090635,-0.0037,390
98.63006532,-0.0072,391.5
97.50320953,-0.0064,393
97.26174043,-0.0066,394.5
98.32822894,-0.0058,396
100.3907775,0.0033,397.5
102.2420406,0.006,399
103.1877945,0.0051,400.5
103.2381006,0.0014,402
102.6444891,-0.0053,403.5
102.0005715,-0.0006,405
101.7691636,0.0108,406.5
102.0508775,0.0131,408
102.6344279,0.0106,409.5
102.7954073,0.0047,411
102.0810612,-0.0038,412.5
100.6121242,-0.0093,414
98.82122835,-0.0091,415.5
98.84135078,0.0068,417
99.55569686,0.0165,418.5
100.5416957,0.0119,420
100.934083,-0.0021,421.5
102.0005715,-0.0103,423
102.3124691,-0.0093,424.5
102.2017957,-0.0018,426
101.0447563,0.0071,427.5
100.179492,0.0068,429
99.80722717,0.0059,430.5
99.63618656,-0.0051,432
99.5053908,-0.0155,433.5
99.32428897,-0.0218,435
99.37459504,-0.0246,436.5
99.7468599,-0.0191,438
100.1090635,-0.0039,439.5
99.85753323,0.0084,441
98.27792288,0.0179,442.5
96.29586404,0.0169,444
94.81686581,0.0078,445.5
94.70619248,0.0036,447
97.01021012,0.003,448.5
99.48526837,0.0009,450
101.2459805,0.0012,451.5
102.7048563,-0.004,453
103.2280394,-0.0093,454.5
102.7752848,-0.0123,456
102.5136933,-0.0066,457.5
102.7752848,-0.0009,459
102.8557745,0.0049,460.5
102.40302,0.0056,462
101.7792248,0.0033,463.5
100.7731036,0.0065,465
99.88771687,0.0136,466.5
99.56575807,0.0148,468
99.21361564,0.0051,469.5
98.03645378,0,471
97.23155679,0.0033,472.5
96.95990406,0.0089,474
97.51327074,-0.0078,475.5
99.3444114,-0.0204,477
99.97826778,-0.0239,478.5
99.57581928,-0.0175,480
98.77092229,-0.0139,481.5
98.22761682,-0.0109,483
98.05657621,-0.0051,484.5
98.34835137,0.0063,486
99.30416655,0.0097,487.5
100.5920017,0.003,489
101.6283066,-0.0008,490.5
